age_group,gender,imd_decile,count,count_all,rate
18-29,Female,1,654,28639,2.28
18-29,Female,2,147,12222,1.2
18-29,Female,3,105,8395,1.25
18-29,Female,4,84,12746,0.66
18-29,Female,5,66,9944,0.66
18-29,Female,6,45,2864,1.57
18-29,Female,7,45,1812,2.48
18-29,Female,8,61,2688,2.27
18-29,Female,9,18,690,2.61
18-29,Female,10,6,1053,0.57
18-29,Male,1,335,25984,1.29
18-29,Male,2,90,9795,0.92
18-29,Male,3,68,6732,1.01
18-29,Male,4,66,9396,0.7
18-29,Male,5,33,7215,0.46
18-29,Male,6,36,2407,1.5
18-29,Male,7,24,1637,1.47
18-29,Male,8,44,2599,1.69
18-29,Male,9,17,1164,1.46
18-29,Male,10,9,597,1.51
30-39,Female,1,905,26234,3.45
30-39,Female,2,213,7036,3.03
30-39,Female,3,157,4448,3.53
30-39,Female,4,90,3398,2.65
30-39,Female,5,80,3532,2.27
30-39,Female,6,59,2082,2.83
30-39,Female,7,68,1732,3.93
30-39,Female,8,71,2376,2.99
30-39,Female,9,46,322,14.29
30-39,Female,10,23,83,27.71
30-39,Male,1,376,28581,1.32
30-39,Male,2,86,8154,1.05
30-39,Male,3,64,5078,1.26
30-39,Male,4,53,3978,1.33
30-39,Male,5,43,4091,1.05
30-39,Male,6,44,2273,1.94
30-39,Male,7,24,1739,1.38
30-39,Male,8,35,2507,1.4
30-39,Male,9,17,379,4.49
30-39,Male,10,9,93,9.68
40-49,Female,1,1109,17578,6.31
40-49,Female,2,258,4202,6.14
40-49,Female,3,187,2680,6.98
40-49,Female,4,152,1718,8.85
40-49,Female,5,144,1989,7.24
40-49,Female,6,112,1240,9.03
40-49,Female,7,97,1258,7.71
40-49,Female,8,137,1858,7.37
40-49,Female,9,67,289,23.18
40-49,Female,10,41,81,50.62
40-49,Male,1,510,21154,2.41
40-49,Male,2,129,5319,2.43
40-49,Male,3,89,3305,2.69
40-49,Male,4,84,2194,3.83
40-49,Male,5,46,2432,1.89
40-49,Male,6,66,1526,4.33
40-49,Male,7,68,1347,5.05
40-49,Male,8,56,2043,2.74
40-49,Male,9,23,338,6.8
40-49,Male,10,18,82,21.95
50-59,Female,1,1392,16356,8.51
50-59,Female,2,426,4439,9.6
50-59,Female,3,283,2881,9.82
50-59,Female,4,207,1551,13.35
50-59,Female,5,196,1702,11.52
50-59,Female,6,192,1198,16.03
50-59,Female,7,224,1527,14.67
50-59,Female,8,256,1961,13.05
50-59,Female,9,119,323,36.84
50-59,Female,10,84,106,79.25
50-59,Male,1,661,18874,3.5
50-59,Male,2,213,5012,4.25
50-59,Male,3,139,3060,4.54
50-59,Male,4,97,1717,5.65
50-59,Male,5,81,1898,4.27
50-59,Male,6,88,1257,7
50-59,Male,7,105,1443,7.28
50-59,Male,8,81,2036,3.98
50-59,Male,9,62,320,19.38
50-59,Male,10,37,98,37.76
60-69,Female,1,1021,14108,7.24
60-69,Female,2,287,3925,7.31
60-69,Female,3,233,2762,8.44
60-69,Female,4,147,1378,10.67
60-69,Female,5,148,1456,10.16
60-69,Female,6,163,1176,13.86
60-69,Female,7,170,1406,12.09
60-69,Female,8,210,1834,11.45
60-69,Female,9,100,323,30.96
60-69,Female,10,75,92,81.52
60-69,Male,1,597,14711,4.06
60-69,Male,2,159,4093,3.88
60-69,Male,3,116,2950,3.93
60-69,Male,4,72,1441,5
60-69,Male,5,61,1540,3.96
60-69,Male,6,91,1140,7.98
60-69,Male,7,99,1440,6.88
60-69,Male,8,105,1834,5.73
60-69,Male,9,43,343,12.54
60-69,Male,10,30,107,28.04
70-79,Female,1,635,9509,6.68
70-79,Female,2,204,2691,7.58
70-79,Female,3,162,1964,8.25
70-79,Female,4,123,985,12.49
70-79,Female,5,95,1020,9.31
70-79,Female,6,98,872,11.24
70-79,Female,7,149,981,15.19
70-79,Female,8,167,1441,11.59
70-79,Female,9,74,308,24.03
70-79,Female,10,67,81,82.72
70-79,Male,1,403,9177,4.39
70-79,Male,2,148,2716,5.45
70-79,Male,3,105,1867,5.62
70-79,Male,4,76,985,7.72
70-79,Male,5,64,1002,6.39
70-79,Male,6,80,853,9.38
70-79,Male,7,83,934,8.89
70-79,Male,8,112,1349,8.3
70-79,Male,9,55,289,19.03
70-79,Male,10,37,78,47.44
80+,Female,1,720,8741,8.24
80+,Female,2,259,2480,10.44
80+,Female,3,217,1884,11.52
80+,Female,4,134,1207,11.1
80+,Female,5,102,735,13.88
80+,Female,6,189,719,26.29
80+,Female,7,188,1014,18.54
80+,Female,8,190,1344,14.14
80+,Female,9,98,384,25.52
80+,Female,10,75,67,111.94
80+,Male,1,473,6214,7.61
80+,Male,2,145,1792,8.09
80+,Male,3,138,1239,11.14
80+,Male,4,100,819,12.21
80+,Male,5,60,583,10.29
80+,Male,6,128,523,24.47
80+,Male,7,166,767,21.64
80+,Male,8,122,913,13.36
80+,Male,9,78,282,27.66
80+,Male,10,57,41,139.02
